preferredName_A,preferredName_B,score
NDUFS7,MT-CO2,0.917
NDUFS7,FOXRED1,0.945
NDUFS7,MT-CO3,0.972
NDUFS7,MT-CO1,0.977
NDUFS7,NDUFAF2,0.985
NDUFS7,SDHA,0.988
NDUFS7,NDUFAF1,0.996
NDUFS7,TIMMDC1,0.997
NDUFS7,MT-ND6,0.998
NDUFS7,MT-ND5,0.999
NDUFS7,NDUFA6,0.999
NDUFS7,NDUFS6,0.999
NDUFS7,NDUFB11,0.999
NDUFS7,NDUFB3,0.999
NDUFS7,NDUFS1,0.999
NDUFS7,NDUFV2,0.999
NDUFS7,MT-ND3,0.999
NDUFS7,MT-ND4,0.999
NDUFS7,NDUFAF5,0.999
NDUFS7,NDUFS2,0.999
NDUFS7,NDUFB10,0.999
NDUFS7,NDUFAF4,0.999
NDUFS7,NDUFS8,0.999
NDUFS7,NDUFA1,0.999
NDUFS7,NDUFA11,0.999
NDUFS7,NDUFS4,0.999
NDUFS7,NDUFAF3,0.999
NDUFS7,MT-ND2,0.999
NDUFS7,MT-ND1,0.999
NDUFS7,NDUFS3,0.999
NDUFS7,NDUFV1,0.999
NDUFS7,NDUFB9,0.999
NDUFAF1,NDUFAF5,0.905
NDUFAF1,NDUFAF2,0.959
NDUFAF1,FOXRED1,0.961
NDUFAF1,NDUFA11,0.976
NDUFAF1,MT-ND4,0.98
NDUFAF1,NDUFB3,0.984
NDUFAF1,NDUFA1,0.984
NDUFAF1,NDUFV2,0.985
NDUFAF1,NDUFA6,0.985
NDUFAF1,NDUFS4,0.985
NDUFAF1,NDUFB9,0.985
NDUFAF1,NDUFB10,0.985
NDUFAF1,NDUFS8,0.986
NDUFAF1,NDUFS6,0.987
NDUFAF1,NDUFV1,0.987
NDUFAF1,MT-ND5,0.988
NDUFAF1,NDUFAF4,0.988
NDUFAF1,NDUFS2,0.989
NDUFAF1,MT-ND3,0.995
NDUFAF1,MT-ND1,0.996
NDUFAF1,MT-ND2,0.997
NDUFAF1,TMEM126B,0.999
NDUFAF1,NDUFS1,0.999
NDUFAF1,NDUFB11,0.999
NDUFAF1,NDUFAF3,0.999
NDUFAF1,NDUFS3,0.999
NDUFAF1,TIMMDC1,0.999
FOXRED1,MT-ND2,0.901
FOXRED1,NDUFA1,0.904
FOXRED1,MT-ND5,0.904
FOXRED1,MT-ND3,0.906
FOXRED1,NDUFV2,0.909
FOXRED1,NDUFA11,0.912
FOXRED1,MT-ND4,0.914
FOXRED1,NDUFS2,0.926
FOXRED1,NDUFB10,0.926
FOXRED1,NDUFS1,0.929
FOXRED1,NDUFV1,0.93
FOXRED1,NDUFS4,0.937
FOXRED1,NDUFS8,0.939
FOXRED1,NDUFS3,0.946
NDUFS3,NDUFAF5,0.96
NDUFS3,NDUFAF2,0.982
NDUFS3,MT-CO2,0.987
NDUFS3,MT-CO3,0.99
NDUFS3,SDHA,0.992
NDUFS3,MT-CO1,0.993
NDUFS3,NDUFAF4,0.995
NDUFS3,MT-ND2,0.999
NDUFS3,MT-ND1,0.999
NDUFS3,NDUFV1,0.999
NDUFS3,NDUFB9,0.999
NDUFS3,NDUFA1,0.999
NDUFS3,NDUFA11,0.999
NDUFS3,NDUFS4,0.999
NDUFS3,NDUFAF3,0.999
NDUFS3,NDUFS8,0.999
NDUFS3,NDUFS2,0.999
NDUFS3,NDUFB10,0.999
NDUFS3,MT-ND4,0.999
NDUFS3,MT-ND3,0.999
NDUFS3,MT-ND6,0.999
NDUFS3,NDUFB3,0.999
NDUFS3,NDUFS1,0.999
NDUFS3,NDUFV2,0.999
NDUFS3,MT-ND5,0.999
NDUFS3,NDUFB11,0.999
NDUFS3,NDUFA6,0.999
NDUFS3,NDUFS6,0.999
SDHA,MT-ND4,0.922
SDHA,MT-ND3,0.937
SDHA,MT-ND1,0.949
SDHA,MT-CO2,0.958
SDHA,MT-CO3,0.976
SDHA,MT-CO1,0.982
SDHA,NDUFV2,0.984
SDHA,NDUFS1,0.995
SDHA,NDUFS2,0.998
SDHA,NDUFS8,0.999
SDHA,NDUFV1,0.999
NDUFB10,NDUFAF4,0.921
NDUFB10,NDUFAF2,0.948
NDUFB10,MT-ND6,0.988
NDUFB10,TIMMDC1,0.998
NDUFB10,NDUFS2,0.999
NDUFB10,NDUFS8,0.999
NDUFB10,NDUFS4,0.999
NDUFB10,NDUFAF3,0.999
NDUFB10,NDUFA1,0.999
NDUFB10,NDUFA11,0.999
NDUFB10,NDUFB9,0.999
NDUFB10,MT-ND1,0.999
NDUFB10,NDUFV1,0.999
NDUFB10,MT-ND2,0.999
NDUFB10,NDUFB11,0.999
NDUFB10,NDUFS6,0.999
NDUFB10,NDUFA6,0.999
NDUFB10,MT-ND5,0.999
NDUFB10,NDUFV2,0.999
NDUFB10,NDUFS1,0.999
NDUFB10,NDUFB3,0.999
NDUFB10,MT-ND4,0.999
NDUFB10,MT-ND3,0.999
AFG3L2,TIMMDC1,0.994
NDUFS6,NDUFAF3,0.948
NDUFS6,NDUFAF4,0.958
NDUFS6,NDUFAF2,0.984
NDUFS6,MT-ND6,0.988
NDUFS6,MT-ND5,0.999
NDUFS6,NDUFB11,0.999
NDUFS6,NDUFA6,0.999
NDUFS6,NDUFB3,0.999
NDUFS6,NDUFS1,0.999
NDUFS6,NDUFV2,0.999
NDUFS6,MT-ND4,0.999
NDUFS6,MT-ND3,0.999
NDUFS6,NDUFS2,0.999
NDUFS6,NDUFS8,0.999
NDUFS6,NDUFA1,0.999
NDUFS6,NDUFA11,0.999
NDUFS6,NDUFS4,0.999
NDUFS6,MT-ND2,0.999
NDUFS6,MT-ND1,0.999
NDUFS6,NDUFV1,0.999
NDUFS6,NDUFB9,0.999
NDUFB11,NDUFAF4,0.915
NDUFB11,NDUFAF3,0.923
NDUFB11,MT-ND6,0.988
NDUFB11,MT-ND3,0.997
NDUFB11,NDUFS8,0.999
NDUFB11,NDUFS2,0.999
NDUFB11,MT-ND2,0.999
NDUFB11,NDUFB9,0.999
NDUFB11,NDUFV1,0.999
NDUFB11,MT-ND1,0.999
NDUFB11,NDUFA11,0.999
NDUFB11,NDUFA1,0.999
NDUFB11,NDUFS4,0.999
NDUFB11,MT-ND5,0.999
NDUFB11,NDUFA6,0.999
NDUFB11,MT-ND4,0.999
NDUFB11,NDUFS1,0.999
NDUFB11,NDUFV2,0.999
NDUFB11,NDUFB3,0.999
NDUFB9,NDUFAF3,0.936
NDUFB9,NDUFAF2,0.976
NDUFB9,MT-ND6,0.988
NDUFB9,TIMMDC1,0.997
NDUFB9,NDUFB3,0.999
NDUFB9,NDUFV2,0.999
NDUFB9,NDUFS1,0.999
NDUFB9,MT-ND4,0.999
NDUFB9,MT-ND3,0.999
NDUFB9,MT-ND5,0.999
NDUFB9,NDUFA6,0.999
NDUFB9,NDUFA1,0.999
NDUFB9,NDUFA11,0.999
NDUFB9,NDUFS4,0.999
NDUFB9,MT-ND2,0.999
NDUFB9,MT-ND1,0.999
NDUFB9,NDUFV1,0.999
NDUFB9,NDUFS2,0.999
NDUFB9,NDUFS8,0.999
NUBPL,NDUFS2,0.902
NDUFAF2,NDUFA11,0.93
NDUFAF2,MT-ND6,0.943
NDUFAF2,NDUFAF5,0.947
NDUFAF2,NDUFB3,0.956
NDUFAF2,MT-ND2,0.957
NDUFAF2,MT-ND5,0.961
NDUFAF2,NDUFA6,0.963
NDUFAF2,NDUFAF3,0.965
NDUFAF2,MT-ND4,0.965
NDUFAF2,NDUFA1,0.968
NDUFAF2,MT-ND3,0.97
NDUFAF2,MT-ND1,0.973
NDUFAF2,NDUFS2,0.987
NDUFAF2,NDUFAF4,0.987
NDUFAF2,NDUFV1,0.99
NDUFAF2,NDUFS8,0.992
NDUFAF2,NDUFS1,0.992
NDUFAF2,NDUFV2,0.992
NDUFAF2,NDUFS4,0.996
NDUFS4,NDUFAF5,0.914
NDUFS4,MT-CO3,0.93
NDUFS4,MT-CO1,0.931
NDUFS4,NDUFAF3,0.947
NDUFS4,NDUFAF4,0.958
NDUFS4,MT-ND6,0.995
NDUFS4,MT-ND4,0.999
NDUFS4,MT-ND3,0.999
NDUFS4,NDUFV2,0.999
NDUFS4,NDUFS1,0.999
NDUFS4,NDUFB3,0.999
NDUFS4,NDUFA6,0.999
NDUFS4,MT-ND5,0.999
NDUFS4,MT-ND1,0.999
NDUFS4,NDUFV1,0.999
NDUFS4,MT-ND2,0.999
NDUFS4,NDUFA1,0.999
NDUFS4,NDUFA11,0.999
NDUFS4,NDUFS8,0.999
NDUFS4,NDUFS2,0.999
NDUFS8,NDUFAF5,0.929
NDUFS8,MT-CO2,0.972
NDUFS8,MT-CO1,0.986
NDUFS8,NDUFAF4,0.988
NDUFS8,MT-CO3,0.988
NDUFS8,MT-ND6,0.997
NDUFS8,TIMMDC1,0.998
NDUFS8,NDUFS2,0.999
NDUFS8,MT-ND2,0.999
NDUFS8,MT-ND1,0.999
NDUFS8,NDUFV1,0.999
NDUFS8,NDUFA1,0.999
NDUFS8,NDUFA11,0.999
NDUFS8,NDUFAF3,0.999
NDUFS8,MT-ND5,0.999
NDUFS8,NDUFA6,0.999
NDUFS8,MT-ND3,0.999
NDUFS8,MT-ND4,0.999
NDUFS8,NDUFB3,0.999
NDUFS8,NDUFS1,0.999
NDUFS8,NDUFV2,0.999
NDUFAF3,TMEM126B,0.906
NDUFAF3,MT-ND3,0.915
NDUFAF3,NDUFA6,0.923
NDUFAF3,NDUFS1,0.927
NDUFAF3,MT-ND2,0.928
NDUFAF3,NDUFA11,0.929
NDUFAF3,NDUFA1,0.938
NDUFAF3,NDUFV1,0.938
NDUFAF3,NDUFV2,0.942
NDUFAF3,MT-ND1,0.947
NDUFAF3,NDUFS2,0.999
NDUFAF3,TIMMDC1,0.999
NDUFAF3,NDUFAF4,0.999
NDUFAF3,NDUFAF5,0.999
NDUFAF3,MT-ND6,0.999
NDUFV2,NDUFAF4,0.96
NDUFV2,MT-CO2,0.973
NDUFV2,MT-CO3,0.983
NDUFV2,MT-CO1,0.987
NDUFV2,MT-ND6,0.995
NDUFV2,NDUFS2,0.999
NDUFV2,MT-ND2,0.999
NDUFV2,NDUFV1,0.999
NDUFV2,MT-ND1,0.999
NDUFV2,NDUFA11,0.999
NDUFV2,NDUFA1,0.999
NDUFV2,MT-ND5,0.999
NDUFV2,NDUFA6,0.999
NDUFV2,MT-ND4,0.999
NDUFV2,MT-ND3,0.999
NDUFV2,NDUFB3,0.999
NDUFV2,NDUFS1,0.999
TMEM126B,NDUFAF4,0.919
TMEM126B,TIMMDC1,0.999
MT-CO1,NDUFS1,0.988
MT-CO1,NDUFV1,0.99
MT-CO1,NDUFS2,0.99
MT-CO1,MT-ND6,0.995
MT-CO1,MT-ND3,0.998
MT-CO1,MT-ATP6,0.998
MT-CO1,MT-ND4,0.999
MT-CO1,MT-ND5,0.999
MT-CO1,MT-ND1,0.999
MT-CO1,MT-ND2,0.999
MT-CO1,MT-CO2,0.999
MT-CO1,MT-CO3,0.999
MT-ATP6,MT-ND6,0.995
MT-ATP6,MT-ND3,0.995
MT-ATP6,MT-ND4,0.999
MT-ATP6,MT-ND5,0.999
MT-ATP6,MT-CO2,0.999
MT-ATP6,MT-ND1,0.999
MT-ATP6,MT-ND2,0.999
MT-ATP6,MT-CO3,0.999
MT-ND6,NDUFAF4,0.92
MT-ND6,NDUFB3,0.986
MT-ND6,NDUFA6,0.987
MT-ND6,MT-CO2,0.991
MT-ND6,NDUFA11,0.993
MT-ND6,NDUFS2,0.995
MT-ND6,NDUFS1,0.995
MT-ND6,MT-CO3,0.996
MT-ND6,NDUFA1,0.997
MT-ND6,NDUFV1,0.998
MT-ND6,MT-ND4,0.999
MT-ND6,MT-ND2,0.999
MT-ND6,MT-ND3,0.999
MT-ND6,MT-ND5,0.999
MT-ND6,MT-ND1,0.999
MT-ND1,NDUFAF5,0.908
MT-ND1,NDUFAF4,0.956
MT-ND1,TIMMDC1,0.997
MT-ND1,NDUFA11,0.998
MT-ND1,NDUFA6,0.999
MT-ND1,MT-ND5,0.999
MT-ND1,MT-ND4,0.999
MT-ND1,MT-ND3,0.999
MT-ND1,NDUFS1,0.999
MT-ND1,NDUFB3,0.999
MT-ND1,NDUFS2,0.999
MT-ND1,MT-CO3,0.999
MT-ND1,NDUFV1,0.999
MT-ND1,MT-ND2,0.999
MT-ND1,MT-CO2,0.999
MT-ND1,NDUFA1,0.999
MT-ND5,NDUFA6,0.999
MT-ND5,MT-ND4,0.999
MT-ND5,MT-ND3,0.999
MT-ND5,NDUFB3,0.999
MT-ND5,NDUFS1,0.999
MT-ND5,MT-CO3,0.999
MT-ND5,NDUFS2,0.999
MT-ND5,MT-ND2,0.999
MT-ND5,NDUFV1,0.999
MT-ND5,NDUFA11,0.999
MT-ND5,NDUFA1,0.999
MT-ND5,MT-CO2,0.999
MT-CO2,NDUFV1,0.972
MT-CO2,NDUFS1,0.976
MT-CO2,NDUFS2,0.985
MT-CO2,MT-ND3,0.998
MT-CO2,MT-ND4,0.999
MT-CO2,MT-CO3,0.999
MT-CO2,MT-ND2,0.999
MT-ND4,NDUFAF4,0.922
MT-ND4,TIMMDC1,0.995
MT-ND4,NDUFB3,0.999
MT-ND4,NDUFS1,0.999
MT-ND4,MT-ND3,0.999
MT-ND4,NDUFA6,0.999
MT-ND4,NDUFA11,0.999
MT-ND4,NDUFA1,0.999
MT-ND4,NDUFV1,0.999
MT-ND4,MT-ND2,0.999
MT-ND4,MT-CO3,0.999
MT-ND4,NDUFS2,0.999
MT-CO3,NDUFS2,0.986
MT-CO3,NDUFV1,0.989
MT-CO3,NDUFS1,0.99
MT-CO3,MT-ND2,0.999
MT-CO3,MT-ND3,0.999
MT-ND2,NDUFAF4,0.927
MT-ND2,NDUFA1,0.997
MT-ND2,NDUFS2,0.999
MT-ND2,NDUFV1,0.999
MT-ND2,NDUFA11,0.999
MT-ND2,NDUFA6,0.999
MT-ND2,MT-ND3,0.999
MT-ND2,NDUFS1,0.999
MT-ND2,NDUFB3,0.999
MT-ND3,NDUFAF4,0.924
MT-ND3,NDUFA1,0.998
MT-ND3,NDUFA11,0.998
MT-ND3,NDUFS2,0.999
MT-ND3,NDUFA6,0.999
MT-ND3,NDUFS1,0.999
MT-ND3,NDUFB3,0.999
MT-ND3,NDUFV1,0.999
NDUFS2,NDUFAF5,0.924
NDUFS2,NDUFAF4,0.991
NDUFS2,TIMMDC1,0.998
NDUFS2,NDUFB3,0.999
NDUFS2,NDUFS1,0.999
NDUFS2,NDUFA6,0.999
NDUFS2,NDUFV1,0.999
NDUFS2,NDUFA1,0.999
NDUFS2,NDUFA11,0.999
NDUFAF4,NDUFA6,0.905
NDUFAF4,NDUFB3,0.924
NDUFAF4,NDUFA11,0.932
NDUFAF4,NDUFS1,0.951
NDUFAF4,NDUFA1,0.953
NDUFAF4,NDUFV1,0.953
NDUFAF4,NDUFAF5,0.953
NDUFAF4,TIMMDC1,0.999
NDUFA1,NDUFA6,0.999
NDUFA1,NDUFV1,0.999
NDUFA1,NDUFS1,0.999
NDUFA1,NDUFA11,0.999
NDUFA1,NDUFB3,0.999
NDUFAF5,NDUFAF8,0.948
NDUFA11,NDUFA6,0.999
NDUFA11,NDUFS1,0.999
NDUFA11,NDUFB3,0.999
NDUFA11,NDUFV1,0.999
NDUFS1,NDUFV1,0.999
NDUFS1,NDUFB3,0.999
NDUFS1,NDUFA6,0.999
NDUFB3,NDUFA6,0.999
NDUFB3,NDUFV1,0.999
TIMMDC1,NDUFV1,0.997
NDUFA6,NDUFV1,0.999
